age,sex,year,value
88,female,2010,0.0002710923215054231
88,female,2011,0.0002601712852859075
88,female,2012,0.00025571884662067693
88,female,2013,0.00025214408931007
88,female,2014,0.0002500134719033263
88,female,2015,0.0002473150700268375
88,female,2016,0.0002437512611406343
88,female,2017,0.00024539782318357985
88,female,2018,0.0002398035476812894
88,female,2019,0.00023621964998880103
88,male,1977,0.000618145286722744
88,male,1978,0.0006111199270274044
88,male,1979,0.000600803101605919
88,male,1980,0.0006062299616361142
88,male,1981,0.0006004621489204598
88,male,1982,0.0005921220437321593
88,male,1983,0.0005876391082846807
88,male,1984,0.0005805899510974652
88,male,1985,0.0005888270504948499
88,male,1986,0.0005851630576412597
88,male,1987,0.0005721413525817963
88,male,1988,0.0005532435452544856
88,male,1989,0.000538338635325208
88,male,1990,0.0005358734527016891
88,male,1991,0.0005260680376322071
88,male,1992,0.0005143146687252293
88,male,1993,0.0005045860233269774
88,male,1994,0.0004964996719438793
88,male,1995,0.0004952198798465758
88,male,1996,0.00049279319955942
88,male,1997,0.0004908927092959127
88,male,1998,0.00048765181352172955
88,male,1999,0.0004840879860386267
88,male,2000,0.00047557322289411475
88,male,2001,0.00046523457328185615
88,male,2002,0.0004545145806286824
88,male,2003,0.0004568105018653766
88,male,2004,0.0004466390175474245
88,male,2005,0.0004369226615425573
88,male,2006,0.00042075175734391005
88,male,2007,0.00041297257895243135
88,male,2008,0.0004059457089130269
88,male,2009,0.000400425902442231
88,male,2010,0.00039751187533797774
88,male,2011,0.0003858866828817913
88,male,2012,0.00038273617363786337
